old_code,new_code
15.71.2,10.91.3
15.72,10.92
15.8,10.8
15.81,10.71
15.82,10.72
15.83,10.81
15.84,10.82
15.84.1,10.82.1
15.84.2,10.82.2
15.85,10.73.1
15.86,10.83
15.87,10.84
15.88,10.86
10.86.1,10.86.1
10.86.11,10.86.11
10.86.12,10.86.12
10.86.2,10.86.2
10.86.3,10.86.3
10.86.4,10.86.4
10.86.5,10.86.5
10.86.6,10.86.6
10.86.61,10.86.61
10.86.62,10.86.62
10.86.63,10.86.63
10.86.64,10.86.64
10.86.69,10.86.69
15.89,10.89
10.89.1,10.89.1
10.89.5,10.89.5
10.89.6,10.89.6
10.89.7,10.89.7
10.89.8,10.89.8
10.89.9,10.89.9
15.89.1,10.85
15.89.2,10.89.3
15.89.3,10.89.4
15.9,11.0
15.91,11.01.1
15.92,11.01.4
15.93,11.02
15.94,11.03
15.95,11.04
15.96,11.05
15.97,11.06
15.98,11.07
15.98.1,11.07.1
15.98.2,11.07.2
16,12
16.0,12.0
16.00,12.00
17,13
17.1,13.1
17.11,13.10.1
17.12,13.10.2
17.13,13.10.3
17.14,13.10.4
17.15,13.10.5
17.16,13.10.6
17.17,13.10.9
17.2,13.2
17.21,13.20.2
17.22,13.20.12
17.23,13.20.12
17.24,13.20.11
17.25,13.20.3
13.20.4,13.20.4
13.20.41,13.20.41
13.20.42,13.20.42
13.20.43,13.20.43
13.20.44,13.20.44
13.20.45,13.20.45
13.20.46,13.20.46
17.3,13.3
17.30,13.30
17.4,13.92
17.40,13.92
17.5,13.9
17.51,13.93
17.52,13.94
17.53,13.95
17.54,13.99
17.54.1,13.99.1
17.54.2,13.99.2
17.54.3,13.99.9
17.6,13.91
17.60,13.91
17.7,14.3
17.71,14.31
17.72,14.39
18,14
15.11.1,15.11.1
18.1,14.11
18.10,14.11
18.2,14.19
18.21,14.12
18.22,14.13
18.22.1,14.13.2
18.22.2,14.13.21
18.22.3,14.13.22
18.23,14.14
18.23.1,14.14.1
18.23.2,14.14.2
18.24,14.19
18.24.1,14.19.1
18.24.11,14.19.11
18.24.12,14.19.12
18.24.13,14.19.13
18.24.14,14.19.19
18.24.2,14.19.2
18.24.21,14.19.21
18.24.22,14.19.22
18.24.23,14.19.23
18.24.3,14.19.3
18.24.31,14.19.31
18.24.32,14.19.32
18.24.4,14.19.4
18.3,14.2
15.11.1,15.11.1
18.30,14.20
15.11.1,15.11.1
18.30.1,15.11.1
18.30.2,14.20
18.30.3,13.20.5
13.91.2,13.91.2
18.30.31,13.20.5
13.91.2,13.91.2
18.30.32,14.20
19,15
15.2,15.2
19.1,15.11
19.10,15.11
19.2,15.12
19.20,15.12
19.3,15.2
19.30,15.20
20,16
20.1,16.1
16.10.9,16.10.9
20.10,16.10
16.10.9,16.10.9
20.10.1,16.10.1
20.10.2,16.10.2
20.10.3,16.10.3
20.10.9,16.10.9
20.2,16.2
20.20,16.21
20.20.1,16.21.1
20.20.2,16.21.2
20.20.21,16.21.21
20.20.22,16.21.22
16.23.2,16.23.2
20.3,16.23
20.30,16.23
20.30.1,16.23.1
20.30.2,16.23.2
20.4,16.24
20.40,16.24
20.5,16.29
20.51,16.29.1
20.51.1,16.29.11
20.51.2,16.29.12
20.51.3,16.29.13
20.51.4,16.29.14
20.52,16.29.2
21,17
17.11,17.11
21.1,17.1
21.11,17.11
21.12,17.12
21.2,17.2
21.21,17.21
21.22,17.22
21.23,17.23
21.24,17.24
21.25,17.29
22,18
58,58
22.1,58
22.11,58.11
22.11.1,58.11.1
22.11.2,58.11.3
22.11.3,59.20.3
22.12,58.13
22.13,58.14
22.14,59.20
22.15,58.19
22.2,18.1
22.21,18.11
22.22,18.12
22.23,18.14
22.24,18.13
22.25,18.12
22.3,18.2
22.31,18.20
22.32,18.20
22.33,18.20
23,19
24.46,24.46
23.1,19.1
23.10,19.10
23.2,19.2
23.20,19.20
23.3,24.46
23.30,24.46
24,20
24.1,20.1
24.11,20.11
24.12,20.12
24.13,20.13
24.14,20.14
24.14.1,20.14.2
24.14.2,20.14.7
24.15,20.15
24.16,20.16
24.17,20.17
24.2,20.2
24.20,20.20
24.3,20.3
24.30,20.30
24.30.1,20.30.1
24.30.2,20.30.2
24.4,21.1
24.41,21.10
24.42,21.20
24.42.1,21.20.1
24.42.2,21.20.2
24.5,20.4
20.41.1,20.41.1
24.51,20.41
24.51.1,20.41.1
24.51.2,20.41.2
24.51.3,20.41.3
24.51.4,20.41.4
20.41.3,20.41.3
24.52,20.42
24.6,20.5
24.61,20.51
24.62,20.52
20.59.6,20.59.6
24.63,20.53
24.64,20.59.1
24.65,26.80
24.66,20.59
24.66.1,20.59.2
24.66.2,20.59.3
24.66.3,20.59.4
24.66.4,20.59.5
24.7,20.6
24.70,20.60
25,22
25.1,22.1
25.11,22.11
25.12,22.11
25.13,22.19
25.13.1,22.19.1
25.13.2,22.19.2
25.13.3,22.19.3
25.13.4,22.19.4
25.13.5,22.19.5
25.13.6,22.19.6
25.13.7,22.19.7
25.2,22.2
25.21,22.21
25.22,22.22
25.23,22.23
25.24,22.29
25.24.1,22.29.1
25.24.2,22.29.2
25.24.9,22.29.9
26,23
26.1,23.1
26.11,23.11
26.12,23.12
26.13,23.13
26.14,23.14
26.15,23.19
26.15.1,23.19.1
26.15.2,23.19.2
26.15.3,23.19.3
26.15.4,23.19.4
26.15.5,23.19.5
26.15.6,23.19.6
26.15.7,23.19.7
26.15.8,23.19.9
26.15.81,23.19.9
26.15.82,23.19.9
26.15.83,23.19.9
26.15.84,23.19.9
26.15.85,23.19.9
26.2,23.4
26.21,23.41
26.22,23.42
26.23,23.43
26.24,23.44
26.25,23.49
26.26,23.20
26.3,23.31
26.30,23.31
26.4,23.32
26.40,23.32
26.5,23.5
26.51,23.51
26.52,23.52.1
26.53,23.52.2
26.6,23.6
26.61,23.61
26.62,23.62
26.63,23.63
26.64,23.64
26.65,23.65
26.66,23.69
26.7,23.7
26.70,23.70
26.70.1,23.70.1
26.70.2,23.70.2
26.70.3,23.70.3
26.8,23.9
26.81,23.91
26.82,23.99
26.82.1,23.99.1
26.82.2,23.99.2
26.82.3,23.99.3
26.82.4,23.99.4
26.82.5,23.99.5
26.82.6,23.99.6
27,24
27.1,24.1
24.10.3,24.10.3
24.10.4,24.10.4
27.11,24.10
27.12,24.10.13
27.13,24.10.12
27.14,24.10.2
27.15,24.10.2
27.16,24.10.6
27.16.1,24.10.6
27.16.2,24.10.3
27.17,24.10.4
24.10.5,24.10.5
27.2,24.51
24.20,24.20
27.21,24.51
27.22,24.20
27.3,24.3
27.31,24.31
27.32,24.32
27.33,24.33
27.34,24.34
27.35,24.10.14
24.10.9,24.10.9
27.35.1,24.10.14
27.35.2,24.10.7
27.35.3,24.10.9
27.4,24.4
27.41,24.41
27.42,24.42
27.42.1,24.42
27.42.11,24.42
27.42.12,24.42
27.42.2,24.42
27.42.3,24.42
27.42.4,24.42
27.42.5,24.42
27.43,24.43
27.44,24.44
27.45,24.45
27.5,24.5
27.51,24.51
27.52,24.52
27.53,24.53
27.54,24.54
28,25
28.1,25.1
28.11,25.11
28.12,25.11
28.2,25.2
28.21,25.29
28.22,25.21
28.22.1,25.21.1
28.22.2,25.21.2
28.22.9,33.12
28.3,25.3
28.30,25.30
28.30.1,25.30.1
28.30.2,25.30.2
28.30.9,33.12
28.4,25.5
28.40,25.50
28.40.1,25.50.1
28.40.2,25.50.2
28.5,25.61
25.62,25.62
28.51,25.61
28.52,25.62
28.6,25.7
28.61,25.71
28.62,25.73
28.63,25.72
28.7,25.9
28.71,25.91
28.72,25.92
28.73,25.93
28.74,25.94
25.93.1,25.93.1
25.93.2,25.93.2
28.74.1,25.93.1
25.94,25.94
28.74.2,25.93.2
28.75,25.99
28.75.1,25.99.1
28.75.11,25.99.11
28.75.12,25.99.12
28.75.2,25.99.2
28.75.21,25.99.21
28.75.22,25.99.22
28.75.23,25.99.23
28.75.24,25.99.24
28.75.25,25.99.25
28.75.26,25.99.26
28.75.27,25.99.29
28.75.3,25.71
29,28
29.1,28.1
29.11,28.11
29.11.1,28.11.1
29.11.2,28.11.2
29.11.21,28.11.21
29.11.22,28.11.22
29.11.23,28.11.23
29.11.9,33.12
29.12,28.12
29.12.1,28.12.1
29.12.2,28.13
29.12.3,28.13
29.12.9,33.12
29.13,28.14
29.14,28.15
29.14.1,28.15.1
29.14.2,28.15.2
29.14.9,33.12
29.2,28.2
29.21,28.21
29.21.1,28.21.1
29.21.2,28.21.2
29.21.9,33.12
29.22,28.22
29.22.1,28.22.42
29.22.2,28.22.41
29.22.3,28.22.7
29.22.4,28.22.6
29.22.5,28.22.5
28.22.9,28.22.9
29.22.6,28.22.9
29.22.9,33.12
29.23,28.25
29.23.1,28.25.1
29.23.2,28.25.2
29.23.9,33.12
29.24,28.29
29.24.1,28.29.1
29.24.2,28.29.3
28.29.22,28.29.22
29.24.3,28.29.4
29.24.31,28.29.41
29.24.32,28.29.42
29.24.33,28.29.43
29.24.4,28.29.6
29.24.6,28.29.5
29.24.9,33.12
29.3,28.3
29.31,28.30.2
29.32,28.30.8
29.32.1,28.30.3
28.30.5,28.30.5
28.30.6,28.30.6
28.30.7,28.30.7
29.32.2,28.30.81
28.30.82,28.30.82
28.30.83,28.30.83
28.30.84,28.30.84
28.30.85,28.30.85
29.32.3,28.30.89
29.32.9,33.12
29.4,28.4
29.40,28.41
29.40.1,28.41.1
29.40.2,28.49.12
29.40.3,28.41.2
29.40.4,28.29.7
29.40.5,28.49
29.40.6,28.24
29.40.7,28.49.4
29.40.9,33.12
29.5,28.9
29.51,28.91
29.52,28.92
29.53,28.93
29.54,28.94
29.54.1,28.94.1
29.54.2,28.94.2
29.54.3,28.94.3
29.54.4,28.94.5
29.54.5,28.94.4
29.54.9,33.12
29.55,28.95
29.56,28.99
29.56.1,28.99.1
29.56.2,28.99.9
29.56.9,33.12
29.6,25.4
29.60,25.40
29.7,27.5
29.71,27.51
29.72,27.52
30,28.23
26.2,26.2
30.0,28.23
26.2,26.2
30.01,28.23
30.01.1,28.23.1
30.01.2,28.23.2
30.01.9,33.20
30.02,26.20
31,27
31.1,27.1
31.10,27.11
31.10.1,27.11.1
31.10.9,33.14
33.20,33.20
31.20,27.12
31.20.1,27.12
31.20.9,33.14
33.20,33.20
31.3,27.3
31.30,27.32
31.4,27.2
31.40,27.20
31.40.1,27.20.1
31.40.2,27.20.2
31.5,27.4
31.50,27.40
31.6,27.9
31.61,27.90
31.62,27.90
31.62.1,27.90
31.62.9,33.14
33.20,33.20
32,26
32.1,26.1
32.10,26.11
32.10.1,26.11.9
32.10.2,26.11.9
32.10.3,26.12
32.10.4,26.11.1
32.10.5,26.11.2
32.10.51,26.11.2
32.10.52,26.11.2
32.10.6,26.11.3
32.10.7,26.11.9
32.2,26.3
32.20,26.30
32.20.1,26.30.17
32.20.2,26.30.11
26.30.12,26.30.12
26.30.13,26.30.13
26.30.14,26.30.14
26.30.15,26.30.15
26.30.16,26.30.16
26.30.19,26.30.19
32.20.3,26.30.5
32.20.9,95.12
32.3,26.4
32.30,26.40
32.30.1,26.40.1
32.30.2,26.40.2
32.30.3,26.40.3
32.30.4,26.40.4
32.30.5,26.40.5
32.30.9,95.12
33,32
33.1,32.5
33.10,32.50
33.10.1,26.60.1
33.10.2,32.50
33.10.9,33.13
33.2,26.5
33.20,26.51
33.20.1,26.51.1
33.20.2,26.51.2
33.20.3,26.51.3
33.20.4,26.51.4
33.20.5,26.51.5
33.20.6,26.51.6
33.20.7,26.51.7
33.20.8,26.51.8
33.20.9,33.13
33.3,33.2
33.30,33.20
33.4,26.7
33.40,26.70
33.40.1,26.70.1
33.40.9,33.13
33.5,26.52
26.52.1,26.52.1
33.50,26.52
33.50.1,26.52.1
33.50.2,26.52.2
33.50.9,33.13
34,29
34.1,29.1
34.10,29.10
34.10.1,29.10.1
34.10.2,29.10.2
34.10.3,29.10.3
34.10.4,29.10.4
34.10.5,29.10.5
34.2,29.2
34.20,29.20
29.20.5,29.20.5
34.3,29.3
34.30,29.31
29.32,29.32
35,30
35.1,30.1
33.15,33.15
35.11,30.11
33.15,33.15
35.11.1,30.11
35.11.9,33.15
35.12,30.12
33.15,33.15
35.12.1,30.12
35.12.9,33.15
35.2,30.2
35.20,30.20
35.20.1,30.20.1
35.20.2,30.20.2
35.20.3,30.20.3
35.20.31,30.20.31
35.20.32,30.20.32
35.20.33,30.20.33
35.20.4,30.20.4
35.20.9,30.20.9
33.17,33.17
35.3,30.3
35.30,30.30
35.30.1,30.30.1
35.30.11,30.30.11
35.30.12,30.30.12
35.30.13,30.30.13
35.30.14,28.99.3
35.30.17,30.30.14
35.30.2,30.30.2
35.30.3,30.30.3
35.30.4,30.30.4
35.30.41,30.30.41
35.30.42,30.30.42
35.30.43,30.30.43
35.30.5,30.30.5
35.30.9,33.16
35.4,30.91
30.92.1,30.92.1
35.41,30.91
35.42,30.92.1
35.43,30.92.2
35.5,30.9
35.50,30.99
36,31
32,32
36.1,31.0
36.11,31.01
36.12,31.01
36.13,31.02
36.14,31.09
36.15,31.03
36.2,32.1
36.21,32.11
36.22,32.12
36.22.1,32.12.1
36.22.2,32.12.2
36.22.3,32.12.3
36.22.4,32.12.4
36.22.5,32.12.5
36.3,32.2
36.30,32.20
36.4,32.3
36.40,32.30
36.5,32.4
36.50,32.40
36.6,32.9
36.61,32.13
36.62,32.91
36.63,32.99
36.63.1,32.99.9
36.63.2,32.99.2
36.63.3,32.99.3
36.63.4,22.23
36.63.5,32.99.4
36.63.6,32.99.5
36.63.7,32.99.9
37,38
37.1,38.32.3
38.32.4,38.32.4
38.32.2,38.32.2
37.10,38.32.3
38.32.4,38.32.4
38.32.2,38.32.2
37.10.1,38.32.3
37.10.2,38.32.4
37.10.21,38.32.4
37.10.22,38.32.2
37.2,38.32.5
37.20,38.32.5
37.20.1,38.32.54
37.20.2,38.32.53
37.20.3,38.32.51
37.20.4,38.32.55
37.20.5,38.32.52
37.20.6,38.32.59
37.20.7,38.32.59
40,35
40.1,35.1
40.10,35.11
35.13,35.13
40.10.1,35.11
40.10.11,35.11.1
40.10.12,35.11.2
40.10.13,35.11.3
40.10.14,35.11.4
40.10.2,35.12
40.10.3,35.13
40.10.4,35.11
40.10.41,35.11.1
40.10.42,35.11.2
40.10.43,35.11.3
40.10.44,35.11.4
40.10.5,35.12
40.2,35.2
40.20,35.2
40.20.1,35.21
40.20.2,35.22
40.3,35.3
40.30,35.30
40.30.1,35.30.1
40.30.11,35.30.11
40.30.12,35.30.12
40.30.13,35.30.13
40.30.14,35.30.14
40.30.17,35.30.15
40.30.2,35.30.2
40.30.3,35.30.3
40.30.4,35.30.4
40.30.5,35.30.5
41,36
41.0,36.0
41.00,36.00
41.00.1,36.00.1
41.00.2,36.00.2
45,41
45.1,43.12
45.11,43.11
43.12.3,43.12.3
45.11.1,43.11
43.12.1,43.12.1
45.11.2,43.12.3
45.11.3,43.12.4
45.12,43.13
45.2,41.2
45.21,41.20
45.21.1,41.20
45.21.2,42.11
42.12,42.12
42.13,42.13
45.21.3,42.21
42.22.1,42.22.1
45.21.4,42.21
42.22.2,42.22.2
45.21.5,42.22.3
42.99,42.99
45.21.51,42.22.3
45.21.52,42.22.3
45.21.53,42.22.3
45.21.54,42.99
45.21.6,42.99
45.21.7,43.99.7
45.22,43.91
45.23,42.11
41.20,41.20
42.99,42.99
45.23.1,42.11
42.12,42.12
45.23.2,41.20
42.99,42.99
45.24,42.91
45.24.1,42.91.1
45.24.2,42.91.2
45.24.3,42.91.4
45.24.4,42.91.5
45.25,43.99
45.25.1,43.99.2
45.25.2,43.99.3
42.21,42.21
45.25.3,43.99.4
45.25.4,43.99.5
45.25.5,43.99.6
45.25.6,43.99.9
45.3,43.2
45.31,43.21
45.32,43.99.1
45.33,43.22
45.34,43.29
45.4,43.3
45.41,43.31
45.42,43.32
45.43,43.33
45.44,43.34
45.44.1,43.34.2
45.44.2,43.34.1
45.45,43.39
45.5,43.99
45.50,43.99
50,45
50.1,45.1
50.10,45.1
50.10.1,45.11.1
45.11.4,45.11.4
45.11.41,45.11.41
45.11.49,45.11.49
45.19.1,45.19.1
45.19.4,45.19.4
45.19.41,45.19.41
45.19.49,45.19.49
50.10.2,45.11.2
45.11.3,45.11.3
45.11.31,45.11.31
45.11.39,45.11.39
45.19.2,45.19.2
45.19.3,45.19.3
45.19.31,45.19.31
45.19.39,45.19.39
50.10.3,45.11.4
45.11.41,45.11.41
45.11.49,45.11.49
45.19.4,45.19.4
45.19.41,45.19.41
45.19.49,45.19.49
50.2,45.2
50.20,45.20
50.20.1,45.20.1
50.20.2,45.20.2
50.20.3,45.20.2
50.3,45.3
50.30,45.3
50.30.1,45.31.1
50.30.2,45.32
45.32.1,45.32.1
45.32.2,45.32.2
45.32.21,45.32.21
45.32.22,45.32.22
